"plant","parameter","original_value","optimized_value","is_optimized"
"Plant_FabaBean_plt.xml","vlaimax","2.2","2.30633766335604",TRUE
"Plant_FabaBean_plt.xml","pentlaimax","5.5","2.36318778748987",TRUE
"Plant_FabaBean_plt.xml","durvieF","352","345.412483039711",TRUE
"Plant_FabaBean_plt.xml","extin","0.85","0.85",FALSE
"Plant_FabaBean_plt.xml","fixmaxveg","25","25",FALSE
"Plant_FabaBean_plt.xml","fixmaxgr","17","17",FALSE
"Plant_FabaBean_plt.xml","Vmax2","0.00624","0.0100385722106854",TRUE
"Plant_FabaBean_plt.xml","inngrain2","0.9","0.8",TRUE
"Plant_FabaBean_plt.xml","innturgmin","0.3","-0.0983804213190128",TRUE
"Plant_FabaBean_plt.xml","innsen","0.35","0.105354210016589",TRUE
"Plant_FabaBean_plt.xml","rsmin","100","280.883721278382",TRUE
"Plant_FabaBean_plt.xml","efcroijuv","1.83","3.3078927519284",TRUE
"Plant_FabaBean_plt.xml","efcroiveg","4.15","3.33160520402635",TRUE
"Plant_FabaBean_plt.xml","efcroirepro","1.1","1",TRUE
"Plant_FabaBean_plt.xml","cgrain","0.026","0.026",FALSE
"Plant_FabaBean_plt.xml","nbgrmin","400","400",FALSE
"Plant_FabaBean_plt.xml","vitircarbT","0.002","0.00152686535350845",TRUE
"Plant_FabaBean_plt.xml","vitirazo","0.0357","0.0357",FALSE
"Wheat_remi_plt.xml","stlevamf","325","325",FALSE
"Wheat_remi_plt.xml","stlevdrp","800","800",FALSE
"Wheat_remi_plt.xml","stamflax","350","350",FALSE
"Wheat_remi_plt.xml","stdrpmat","530","530",FALSE
"Wheat_remi_plt.xml","stdrpdes","500","500",FALSE
"Wheat_remi_plt.xml","dlaimaxbrut","0.0003064","0.000255348280789947",TRUE
"Wheat_remi_plt.xml","vlaimax","2.2","2.26864292947322",TRUE
"Wheat_remi_plt.xml","pentlaimax","5","2.16752792380165",TRUE
"Wheat_remi_plt.xml","durvieF","380","369.406943023712",TRUE
"Wheat_remi_plt.xml","extin","0.5","0.5",FALSE
"Wheat_remi_plt.xml","fixmaxveg","30","30",FALSE
"Wheat_remi_plt.xml","fixmaxgr","9.5","9.5",FALSE
"Wheat_remi_plt.xml","Vmax2","0.0205","0.00448143457518457",TRUE
"Wheat_remi_plt.xml","inngrain2","1.18","1.59328751900714",TRUE
"Wheat_remi_plt.xml","innturgmin","0.28","0.83940391525716",TRUE
"Wheat_remi_plt.xml","innsen","0.151","0.204688696144188",TRUE
"Wheat_remi_plt.xml","rsmin","137","178.556240382321",TRUE
"Wheat_remi_plt.xml","efcroijuv","2.05","3.65818787815659",TRUE
"Wheat_remi_plt.xml","efcroiveg","3.24","4.46552685345317",TRUE
"Wheat_remi_plt.xml","efcroirepro","2.37","4.5",TRUE
"Wheat_remi_plt.xml","cgrain","0.01928","0.01928",FALSE
"Wheat_remi_plt.xml","nbgrmin","2881","2881",FALSE
"Wheat_remi_plt.xml","vitircarbT","0.000792","0.000934213986320953",TRUE
"Wheat_remi_plt.xml","vitirazo","0.01842","0.01842",FALSE
"soybeanAssoTardif_plt.xml","stlevamf","290","290",FALSE
"soybeanAssoTardif_plt.xml","stlevdrp","900","872.596134255374",TRUE
"soybeanAssoTardif_plt.xml","stamflax","440","684.065663122705",TRUE
"soybeanAssoTardif_plt.xml","stdrpmat","555","633.60080745936",TRUE
"soybeanAssoTardif_plt.xml","stdrpdes","150","150",FALSE
"soybeanAssoTardif_plt.xml","dlaimaxbrut","0.001","0.00138062668041829",TRUE
"soybeanAssoTardif_plt.xml","vlaimax","1.6","2.5",TRUE
"soybeanAssoTardif_plt.xml","pentlaimax","6.5","1.08203153096221",TRUE
"soybeanAssoTardif_plt.xml","durvieF","330","293.096889296014",TRUE
"soybeanAssoTardif_plt.xml","extin","1","0.836899671324396",TRUE
"soybeanAssoTardif_plt.xml","fixmaxveg","40","40",FALSE
"soybeanAssoTardif_plt.xml","fixmaxgr","30","30",FALSE
"soybeanAssoTardif_plt.xml","Vmax2","0.00386","0.00386",FALSE
"soybeanAssoTardif_plt.xml","inngrain2","1.5","1.5",FALSE
"soybeanAssoTardif_plt.xml","innturgmin","0.9","1",TRUE
